12.6,$205.5,San Diego Padres vs Atlanta Braves,Moneyline,Fanduel,Caesars
11.1,$195.67,San Diego Padres vs Atlanta Braves,Spread,BetMGM,Caesars
1.0,$14.89,Aleksandra Krunic vs Peyton Stearns,Moneyline,Draftkings,Betrivers
0.5,$6.21,Matteo Gigante vs Sascha Gueymard Wayenburg,Moneyline,Draftkings,Fanduel
